Time	Loss Delta	Loss After	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
7.807835578918457	1000.02999688	-0.0299969	0	8.6224137931	5.16091221232	44.0	3.0	8.6224137931	5.16091221232	5001	5001
13.73771357536316	0.00220051	-0.0321974	1	12.1014492754	7.8346035249	59.0	3.0	12.1014492754	7.8346035249	5010	10011
17.66118288040161	0.00561135	-0.0378087	2	17.5	11.428632305	68.0	4.0	17.5	11.428632305	5005	15016
23.349891185760498	-0.00717581	-0.0306329	3	22.34375	13.0251355988	87.0	5.0	22.34375	13.0251355988	5005	20021
29.520859241485596	-0.029948	-0.000684948	4	25.9430051813	13.3739312307	101.0	5.0	25.9430051813	13.3739312307	5007	25028
34.48836946487427	0.021406	-0.0220909	5	29.880952381	16.3993356151	94.0	6.0	29.880952381	16.3993356151	5020	30048
39.945751667022705	-0.00288898	-0.019202	6	28.0502793296	13.0659152906	65.0	8.0	28.0502793296	13.0659152906	5021	35069
45.72610950469971	-0.010359	-0.00884293	7	33.677852349	14.8749907028	97.0	5.0	33.677852349	14.8749907028	5018	40087
50.94760608673096	0.0043236	-0.0131665	8	38.465648855	16.6207346408	94.0	10.0	38.465648855	16.6207346408	5039	45126
56.46422457695007	0.00942768	-0.0225942	9	37.6165413534	19.4602822057	122.0	6.0	37.6165413534	19.4602822057	5003	50129
62.70359802246094	-0.0246702	0.00207603	10	41.3305785124	18.2740336167	102.0	6.0	41.3305785124	18.2740336167	5001	55130
67.98265361785889	0.0138514	-0.0117754	11	43.0427350427	21.2250429262	129.0	7.0	43.0427350427	21.2250429262	5036	60166
72.82203912734985	-0.00495779	-0.00681759	12	41.4462809917	21.851092759	113.0	10.0	41.4462809917	21.851092759	5015	65181
77.6016583442688	-0.00302525	-0.00379234	13	47.7047619048	25.2759715783	125.0	8.0	47.7047619048	25.2759715783	5009	70190
83.4691915512085	0.0067867	-0.010579	14	46.0550458716	24.9630313314	146.0	10.0	46.0550458716	24.9630313314	5020	75210
89.05995202064514	-0.00135798	-0.00922106	15	52.7578947368	27.2573373181	173.0	12.0	52.7578947368	27.2573373181	5012	80222
94.51993203163147	0.0015461	-0.0107672	16	58.3372093023	27.9595265893	140.0	6.0	58.3372093023	27.9595265893	5017	85239
100.70285820960999	0.0117107	-0.0224778	17	66.1428571429	35.5592479015	178.0	10.0	66.1428571429	35.5592479015	5093	90332
106.2431890964508	-0.0216743	-0.000803486	18	66.0657894737	27.1740663551	145.0	16.0	66.0657894737	27.1740663551	5021	95353
111.75424194335938	0.0142842	-0.0150877	19	77.1060606061	44.2137126637	211.0	11.0	77.1060606061	44.2137126637	5089	100442
116.58525586128235	0.00315392	-0.0182416	20	72.9565217391	40.6934224584	224.0	12.0	72.9565217391	40.6934224584	5034	105476
121.79261755943298	-0.0144637	-0.00377786	21	80.5079365079	35.545576831	179.0	32.0	80.5079365079	35.545576831	5072	110548
127.12568879127502	0.0284684	-0.0322462	22	94.4444444444	47.1108490559	246.0	28.0	94.4444444444	47.1108490559	5100	115648
131.8132884502411	-0.0245368	-0.00770947	23	92.8703703704	43.42982688	213.0	32.0	92.8703703704	43.42982688	5015	120663
137.38341879844666	0.00244986	-0.0101593	24	89.8771929825	45.3609578535	230.0	15.0	89.8771929825	45.3609578535	5123	125786
143.14365530014038	-0.00840508	-0.00175426	25	103.591836735	50.7800050507	252.0	6.0	103.591836735	50.7800050507	5076	130862
147.98903012275696	0.0176054	-0.0193597	26	98.137254902	51.5539008272	310.0	33.0	98.137254902	51.5539008272	5005	135867
152.46133852005005	-0.00731896	-0.0120407	27	111.347826087	44.0302353583	213.0	29.0	111.347826087	44.0302353583	5122	140989
156.1429421901703	0.00499609	-0.0170368	28	105.5625	45.118781312	210.0	27.0	105.5625	45.118781312	5067	146056
160.88128805160522	-0.00664387	-0.010393	29	121.738095238	64.1445761073	283.0	23.0	121.738095238	64.1445761073	5113	151169
166.18184876441956	0.00227447	-0.0126674	30	116.906976744	49.6709235771	202.0	7.0	116.906976744	49.6709235771	5027	156196
171.89743089675903	0.00981397	-0.0224814	31	123.268292683	45.827366619	208.0	29.0	123.268292683	45.827366619	5054	161250
177.9301426410675	-0.0194417	-0.00303974	32	116.581395349	63.9826402903	307.0	15.0	116.581395349	63.9826402903	5013	166263
183.84816980361938	0.0181325	-0.0211722	33	111.844444444	50.7919309233	217.0	30.0	111.844444444	50.7919309233	5033	171296
188.86249804496765	-0.0032175	-0.0179547	34	111.543478261	49.1442891201	264.0	22.0	111.543478261	49.1442891201	5131	176427
193.4036304950714	-0.00486126	-0.0130934	35	111.955555556	50.1814288604	260.0	33.0	111.955555556	50.1814288604	5038	181465
198.17499041557312	0.000749493	-0.0138429	36	133.789473684	51.4976534441	280.0	49.0	133.789473684	51.4976534441	5084	186549
203.70131301879883	-0.0011136	-0.0127293	37	128.384615385	50.2019589896	302.0	44.0	128.384615385	50.2019589896	5007	191556
208.74892735481262	-0.00865149	-0.00407785	38	142.138888889	52.5103972656	304.0	21.0	142.138888889	52.5103972656	5117	196673
214.38998174667358	0.00859367	-0.0126715	39	144.485714286	56.4600346281	326.0	48.0	144.485714286	56.4600346281	5057	201730
219.862948179245	-0.0093185	-0.00335302	40	140.861111111	62.7141454794	407.0	54.0	140.861111111	62.7141454794	5071	206801
226.09089279174805	0.0065676	-0.00992062	41	154.242424242	62.8832638056	338.0	55.0	154.242424242	62.8832638056	5090	211891
231.96894598007202	-0.00772842	-0.0021922	42	146.628571429	48.7934923731	342.0	78.0	146.628571429	48.7934923731	5132	217023
236.6354923248291	-0.0209014	0.0187092	43	180.857142857	69.314868682	360.0	83.0	180.857142857	69.314868682	5064	222087
242.2973234653473	0.0295838	-0.0108746	44	152.090909091	49.0098095539	278.0	52.0	152.090909091	49.0098095539	5019	227106
247.76670932769775	-0.00567869	-0.00519595	45	173.068965517	59.678408869	323.0	66.0	173.068965517	59.678408869	5019	232125
253.71638894081116	0.0101208	-0.0153167	46	168.166666667	53.5910958607	280.0	40.0	168.166666667	53.5910958607	5045	237170
258.8138144016266	-0.0147235	-0.000593241	47	162.709677419	69.7568096102	467.0	88.0	162.709677419	69.7568096102	5044	242214
264.2495412826538	0.0199603	-0.0205535	48	180.535714286	47.7878362758	286.0	110.0	180.535714286	47.7878362758	5055	247269
270.17356419563293	-0.0285597	0.00800624	49	145.685714286	56.0233479025	331.0	40.0	145.685714286	56.0233479025	5099	252368
276.1703779697418	0.00180923	0.00619701	50	181.107142857	53.6145897559	337.0	95.0	181.107142857	53.6145897559	5071	257439
281.6849808692932	0.00594332	0.000253688	51	187.518518519	54.4564864486	290.0	49.0	187.518518519	54.4564864486	5063	262502
286.68811297416687	-0.0110089	0.0112626	52	239.095238095	65.0244677479	447.0	130.0	239.095238095	65.0244677479	5021	267523
292.75444054603577	0.027555	-0.0162924	53	219.782608696	93.1954265167	387.0	63.0	219.782608696	93.1954265167	5055	272578
298.63663625717163	-0.012989	-0.00330344	54	237.909090909	77.4819093788	450.0	57.0	237.909090909	77.4819093788	5234	277812
304.49378061294556	-0.0103411	0.0070377	55	229.045454545	74.8674448443	389.0	64.0	229.045454545	74.8674448443	5039	282851
310.1316351890564	0.00624156	0.000796146	56	217.333333333	62.4223962657	359.0	22.0	217.333333333	62.4223962657	5216	288067
315.0772204399109	-0.0130494	0.0138455	57	227.727272727	86.8458309138	367.0	36.0	227.727272727	86.8458309138	5010	293077
320.3466989994049	0.0183318	-0.00448629	58	275.631578947	102.391000081	531.0	160.0	275.631578947	102.391000081	5237	298314
326.71667742729187	0.0105032	-0.0149895	59	339.333333333	215.937851141	1000.0	55.0	339.333333333	215.937851141	5090	303404
332.0986714363098	-0.0254863	0.0104968	60	414.307692308	142.073861947	645.0	178.0	414.307692308	142.073861947	5386	308790
338.02756690979004	0.00705336	0.00344348	61	456.0	183.748345694	855.0	213.0	456.0	183.748345694	5016	313806
342.9738759994507	-0.00736639	0.0108099	62	365.214285714	148.173247331	631.0	51.0	365.214285714	148.173247331	5113	318919
348.75068259239197	0.0203156	-0.00950577	63	562.555555556	189.979011186	1000.0	350.0	562.555555556	189.979011186	5063	323982
355.07782340049744	-0.0193121	0.00980629	64	478.272727273	220.213157442	878.0	130.0	478.272727273	220.213157442	5261	329243
360.99940276145935	0.0197287	-0.0099224	65	540.7	367.63216671	1000.0	47.0	540.7	367.63216671	5407	334650
367.1847143173218	-0.00837075	-0.00155165	66	629.75	352.149382365	1000.0	130.0	629.75	352.149382365	5038	339688
372.8612205982208	0.00747523	-0.00902688	67	571.666666667	264.181335029	1000.0	155.0	571.666666667	264.181335029	5145	344833
