Time	Loss Delta	Loss After	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.0933706760406494	1000.01538449	-0.0153845	0	22.6666666667	12.1965386711	78.0	10.0	22.6666666667	12.1965386711	1020	1020
3.1781256198883057	1000.17442699	-0.174427	1	28.8571428571	15.3867157122	81.0	10.0	28.8571428571	15.3867157122	1010	2030
3.9731087684631348	1000.01690128	-0.0169013	2	31.4848484848	16.8938238887	108.0	11.0	31.4848484848	16.8938238887	1039	3069
4.815979719161987	1000.20022951	-0.20023	3	44.2173913043	24.0849159393	103.0	13.0	44.2173913043	24.0849159393	1017	4086
5.62989354133606	999.817329943	0.18267	4	50.8	18.5946228787	98.0	30.0	50.8	18.5946228787	1016	5102
6.541752099990845	1000.38108417	-0.381084	5	48.2272727273	16.3594060188	90.0	22.0	48.2272727273	16.3594060188	1061	6163
7.354562282562256	999.749329209	0.250671	6	51.6	22.922478051	122.0	22.0	51.6	22.922478051	1032	7195
8.124726295471191	1000.02320159	-0.0232016	7	51.9	21.1941029534	113.0	22.0	51.9	21.1941029534	1038	8233
9.116141319274902	999.947594561	0.0524054	8	56.9444444444	29.8262975358	148.0	16.0	56.9444444444	29.8262975358	1025	9258
10.12248420715332	999.490583181	0.509417	9	65.3529411765	32.9151157417	188.0	41.0	65.3529411765	32.9151157417	1111	10369
11.074079990386963	1000.58149505	-0.581495	10	72.9285714286	28.3005913258	129.0	39.0	72.9285714286	28.3005913258	1021	11390
12.035181283950806	1000.17408109	-0.174081	11	79.3076923077	27.7748769031	127.0	41.0	79.3076923077	27.7748769031	1031	12421
12.998222351074219	1000.8673647	-0.867365	12	86.1666666667	23.0102634105	136.0	50.0	86.1666666667	23.0102634105	1034	13455
13.727644205093384	1000.04782655	-0.0478266	13	68.3333333333	17.7676359961	98.0	47.0	68.3333333333	17.7676359961	1025	14480
14.383331537246704	999.878303461	0.121697	14	95.3636363636	48.9568877637	200.0	57.0	95.3636363636	48.9568877637	1049	15529
15.364588975906372	999.506884575	0.493115	15	87.0	28.3754588803	165.0	49.0	87.0	28.3754588803	1044	16573
16.307008743286133	999.850659713	0.14934	16	108.454545455	48.3817464384	200.0	51.0	108.454545455	48.3817464384	1193	17766
17.337290048599243	1000.69752759	-0.697528	17	102.7	43.6005733907	200.0	65.0	102.7	43.6005733907	1027	18793
18.29152512550354	1000.072248	-0.072248	18	113.888888889	46.5509146454	200.0	58.0	113.888888889	46.5509146454	1025	19818
19.06929039955139	999.917281963	0.082718	19	98.75	44.6171211532	197.0	42.0	98.75	44.6171211532	1185	21003
19.96707844734192	1000.92610514	-0.926105	20	96.0	38.9591861031	179.0	55.0	96.0	38.9591861031	1056	22059
20.70226526260376	999.390447795	0.609552	21	119.0	23.0603074086	171.0	99.0	119.0	23.0603074086	1071	23130
21.41959547996521	1001.29097545	-1.29098	22	127.125	39.9732332318	195.0	91.0	127.125	39.9732332318	1017	24147
22.351127862930298	1000.1098465	-0.109846	23	127.25	42.6167514013	200.0	61.0	127.25	42.6167514013	1018	25165
23.23101830482483	999.48971349	0.510287	24	174.333333333	35.0935258353	200.0	99.0	174.333333333	35.0935258353	1046	26211
24.1607723236084	999.291037738	0.708962	25	171.333333333	24.5605826931	200.0	139.0	171.333333333	24.5605826931	1028	27239
25.3067467212677	999.661168188	0.338832	26	199.0	2.2360679775	200.0	194.0	199.0	2.2360679775	1194	28433
26.361390590667725	1000.87681431	-0.876814	27	160.285714286	48.4494266094	200.0	53.0	160.285714286	48.4494266094	1122	29555
27.29800772666931	1000.38515219	-0.385152	28	184.0	35.77708764	200.0	104.0	184.0	35.77708764	1104	30659
28.24070954322815	1001.6898731	-1.68987	29	191.333333333	19.379255805	200.0	148.0	191.333333333	19.379255805	1148	31807
29.183316946029663	1001.43891478	-1.43891	30	177.0	33.3816316757	200.0	118.0	177.0	33.3816316757	1062	32869
30.187169790267944	1001.3409245	-1.34092	31	174.833333333	36.0111865336	200.0	115.0	174.833333333	36.0111865336	1049	33918
31.2842116355896	999.954290032	0.04571	32	170.714285714	37.2624448462	200.0	105.0	170.714285714	37.2624448462	1195	35113
32.40824246406555	1001.08545125	-1.08545	33	190.333333333	16.8292074152	200.0	154.0	190.333333333	16.8292074152	1142	36255
33.40364146232605	1000.12186624	-0.121866	34	157.285714286	31.7657240511	200.0	116.0	157.285714286	31.7657240511	1101	37356
34.47287464141846	1000.22848703	-0.228487	35	152.285714286	25.6777518248	200.0	124.0	152.285714286	25.6777518248	1066	38422
35.439698219299316	1000.17753448	-0.177534	36	134.0	26.4149578837	160.0	70.0	134.0	26.4149578837	1072	39494
36.356629610061646	999.65426743	0.345733	37	137.625	17.8671311351	176.0	118.0	137.625	17.8671311351	1101	40595
37.16646647453308	999.912572771	0.0874272	38	132.375	20.96984442	179.0	103.0	132.375	20.96984442	1059	41654
38.03165102005005	999.702123135	0.297877	39	126.0	19.6723155729	156.0	101.0	126.0	19.6723155729	1008	42662
38.822556257247925	1000.31710571	-0.317106	40	114.444444444	14.8182403447	142.0	97.0	114.444444444	14.8182403447	1030	43692
39.781097412109375	999.511492968	0.488507	41	130.0	19.6468827044	155.0	103.0	130.0	19.6468827044	1040	44732
40.59992742538452	1000.36394837	-0.363948	42	128.875	21.2746180929	161.0	84.0	128.875	21.2746180929	1031	45763
41.3516743183136	999.88655287	0.113447	43	143.25	13.1315459867	168.0	125.0	143.25	13.1315459867	1146	46909
42.116339445114136	999.769338772	0.230661	44	138.5	14.7139389696	165.0	121.0	138.5	14.7139389696	1108	48017
42.93260478973389	999.579114676	0.420885	45	168.285714286	30.6394436993	199.0	110.0	168.285714286	30.6394436993	1178	49195
43.83908414840698	999.798790693	0.201209	46	148.857142857	21.2497298902	177.0	113.0	148.857142857	21.2497298902	1042	50237
44.587162494659424	999.911348596	0.0886514	47	159.285714286	27.7885602656	200.0	115.0	159.285714286	27.7885602656	1115	51352
