Time	Loss Delta	Loss After	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.941598892211914	1000.55881774	-0.558818	0	11.7764705882	6.55003631887	29.0	3.0	11.7764705882	6.55003631887	1001	1001
4.250923156738281	-0.263914	-0.294904	1	16.5901639344	10.0202697015	62.0	5.0	16.5901639344	10.0202697015	1012	2013
5.471442699432373	-0.0977496	-0.197154	2	17.0	9.29187726193	50.0	4.0	17.0	9.29187726193	1003	3016
6.591347694396973	-0.305281	0.108127	3	18.6851851852	13.998444456	83.0	4.0	18.6851851852	13.998444456	1009	4025
7.648224830627441	0.45694	-0.348813	4	18.4	11.6253641194	54.0	5.0	18.4	11.6253641194	1012	5037
8.77003264427185	-0.591444	0.242631	5	22.3777777778	15.023372737	76.0	7.0	22.3777777778	15.023372737	1007	6044
9.96679973602295	0.123511	0.11912	6	20.9375	12.3244442911	61.0	4.0	20.9375	12.3244442911	1005	7049
11.017745971679688	-0.165306	0.284426	7	22.9318181818	12.6480284617	67.0	9.0	22.9318181818	12.6480284617	1009	8058
12.09356951713562	1.14232	-0.857897	8	24.0238095238	12.1566914657	57.0	7.0	24.0238095238	12.1566914657	1009	9067
13.162146091461182	-1.09894	0.241043	9	30.0	17.3374806501	105.0	11.0	30.0	17.3374806501	1020	10087
14.28157901763916	0.627842	-0.386799	10	27.0	14.7416345591	67.0	9.0	27.0	14.7416345591	1026	11113
15.374697208404541	0.0310194	-0.417818	11	25.7692307692	11.1158504028	59.0	9.0	25.7692307692	11.1158504028	1005	12118
16.50107216835022	-0.549239	0.131421	12	30.4848484848	16.100294016	75.0	5.0	30.4848484848	16.100294016	1006	13124
17.58869171142578	0.760945	-0.629525	13	30.0882352941	15.5324473415	78.0	8.0	30.0882352941	15.5324473415	1023	14147
18.586482524871826	-0.70627	0.0767455	14	27.2432432432	12.1841842664	56.0	9.0	27.2432432432	12.1841842664	1008	15155
19.65308165550232	0.603339	-0.526594	15	34.0322580645	16.623892388	85.0	11.0	34.0322580645	16.623892388	1055	16210
20.801376819610596	-0.628376	0.101782	16	35.8571428571	19.3293157918	99.0	6.0	35.8571428571	19.3293157918	1004	17214
21.838253259658813	0.335156	-0.233374	17	35.9285714286	13.5222794238	70.0	15.0	35.9285714286	13.5222794238	1006	18220
22.920408487319946	-0.354069	0.120695	18	34.1333333333	16.5080451767	92.0	11.0	34.1333333333	16.5080451767	1024	19244
24.046456575393677	-0.0578858	0.178581	19	36.3214285714	14.7939504321	72.0	12.0	36.3214285714	14.7939504321	1017	20261
24.86223840713501	-0.611694	0.790275	20	32.3225806452	18.0633064111	97.0	15.0	32.3225806452	18.0633064111	1002	21263
25.943555116653442	0.868856	-0.0785818	21	32.7419354839	12.9215192903	62.0	11.0	32.7419354839	12.9215192903	1015	22278
27.086198091506958	0.345846	-0.424428	22	41.76	15.3395697462	69.0	12.0	41.76	15.3395697462	1044	23322
28.1378116607666	-0.0540959	-0.370332	23	37.5555555556	14.6270508745	66.0	17.0	37.5555555556	14.6270508745	1014	24336
29.397106170654297	-0.178699	-0.191633	24	40.5555555556	22.8040498894	110.0	12.0	40.5555555556	22.8040498894	1095	25431
30.52346396446228	1.06743	-1.25907	25	47.4090909091	19.7798315346	92.0	13.0	47.4090909091	19.7798315346	1043	26474
31.629821300506592	0.462846	-1.72191	26	48.619047619	24.9370181715	116.0	18.0	48.619047619	24.9370181715	1021	27495
32.63539743423462	-2.48974	0.767828	27	58.0	27.6671950911	127.0	16.0	58.0	27.6671950911	1102	28597
33.77051782608032	1.78384	-1.01602	28	46.0434782609	20.4991585424	79.0	14.0	46.0434782609	20.4991585424	1059	29656
34.99712419509888	-0.685251	-0.330764	29	52.05	24.709259398	109.0	11.0	52.05	24.709259398	1041	30697
35.98017978668213	-0.26235	-0.0684144	30	55.6111111111	28.9887696433	118.0	13.0	55.6111111111	28.9887696433	1001	31698
36.9140145778656	0.684238	-0.752653	31	57.6111111111	26.7002681819	113.0	13.0	57.6111111111	26.7002681819	1037	32735
37.954689741134644	-0.618642	-0.13401	32	57.8333333333	15.4820684808	95.0	34.0	57.8333333333	15.4820684808	1041	33776
38.699323892593384	-1.00726	0.873248	33	72.7142857143	36.9834491388	140.0	24.0	72.7142857143	36.9834491388	1018	34794
39.934468030929565	1.6282	-0.754954	34	54.0	20.2250496063	106.0	15.0	54.0	20.2250496063	1026	35820
41.014164209365845	-0.717351	-0.0376029	35	50.05	11.702457007	67.0	21.0	50.05	11.702457007	1001	36821
41.8227424621582	-0.708538	0.670935	36	69.0	33.3206642591	170.0	29.0	69.0	33.3206642591	1035	37856
42.950616121292114	2.57612	-1.90518	37	54.5789473684	26.6029594505	106.0	21.0	54.5789473684	26.6029594505	1037	38893
43.879578828811646	-0.222779	-1.6824	38	74.2857142857	45.5716524849	213.0	24.0	74.2857142857	45.5716524849	1040	39933
44.976999282836914	-1.90831	0.225903	39	81.0	36.8969458815	164.0	23.0	81.0	36.8969458815	1053	40986
45.927001953125	0.714203	-0.4883	40	63.8125	25.9475883995	124.0	19.0	63.8125	25.9475883995	1021	42007
46.93561768531799	0.522272	-1.01057	41	73.1428571429	30.5774359919	128.0	40.0	73.1428571429	30.5774359919	1024	43031
