Time	Loss Delta	Loss After	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.0516464710235596	999.964906882	0.0350931	0	19.6862745098	7.49245423306	44.0	9.0	19.6862745098	7.49245423306	1004	1004
2.769672155380249	1000.01331459	-0.0133146	1	25.05	11.9351372007	60.0	11.0	25.05	11.9351372007	1002	2006
3.5602755546569824	1000.02194803	-0.021948	2	32.0	17.2784679456	103.0	12.0	32.0	17.2784679456	1056	3062
4.5191380977630615	1000.36403096	-0.364031	3	34.5517241379	17.6900248667	81.0	10.0	34.5517241379	17.6900248667	1002	4064
5.513567209243774	1000.23965083	-0.239651	4	37.7777777778	16.6562930679	80.0	15.0	37.7777777778	16.6562930679	1020	5084
6.3291685581207275	999.868526772	0.131473	5	62.1176470588	29.2451752742	110.0	25.0	62.1176470588	29.2451752742	1056	6140
7.252260684967041	999.97601762	0.0239824	6	53.5789473684	20.186800767	96.0	23.0	53.5789473684	20.186800767	1018	7158
8.19782304763794	1000.40861031	-0.40861	7	64.4375	37.7689832237	147.0	26.0	64.4375	37.7689832237	1031	8189
9.04238510131836	1000.05503307	-0.0550331	8	56.8333333333	31.1613186142	150.0	24.0	56.8333333333	31.1613186142	1023	9212
9.999073266983032	1000.01222419	-0.0122242	9	100.272727273	26.9075552387	151.0	55.0	100.272727273	26.9075552387	1103	10315
10.977765560150146	1000.40036529	-0.400365	10	79.5384615385	38.1467114917	168.0	36.0	79.5384615385	38.1467114917	1034	11349
11.566444396972656	999.351629794	0.64837	11	101.2	49.6463493119	200.0	46.0	101.2	49.6463493119	1012	12361
12.238079071044922	1000.77689457	-0.776895	12	85.6923076923	36.8497669659	153.0	28.0	85.6923076923	36.8497669659	1114	13475
13.207984447479248	1001.28466809	-1.28467	13	106.1	31.8918484883	159.0	57.0	106.1	31.8918484883	1061	14536
14.20671820640564	1000.4828786	-0.482879	14	137.125	33.5277403802	200.0	101.0	137.125	33.5277403802	1097	15633
15.219465017318726	1000.74583703	-0.745837	15	143.125	41.3171801434	200.0	95.0	143.125	41.3171801434	1145	16778
16.13311219215393	1000.66865963	-0.66866	16	147.857142857	34.7909207016	196.0	91.0	147.857142857	34.7909207016	1035	17813
16.857884883880615	1000.21279044	-0.21279	17	163.714285714	50.9529594983	200.0	69.0	163.714285714	50.9529594983	1146	18959
17.602690935134888	1000.19294898	-0.192949	18	159.857142857	44.5081969062	200.0	93.0	159.857142857	44.5081969062	1119	20078
18.38914656639099	1000.12470152	-0.124702	19	182.166666667	21.294887232	200.0	139.0	182.166666667	21.294887232	1093	21171
19.43371272087097	999.586812407	0.413188	20	173.0	39.8915195666	200.0	99.0	173.0	39.8915195666	1038	22209
20.306094646453857	999.929080836	0.0709192	21	151.285714286	44.9339651543	200.0	78.0	151.285714286	44.9339651543	1059	23268
21.37090015411377	998.546833992	1.45317	22	157.285714286	39.8307644405	200.0	102.0	157.285714286	39.8307644405	1101	24369
22.427772760391235	999.272295415	0.727705	23	168.571428571	37.2246352486	200.0	111.0	168.571428571	37.2246352486	1180	25549
23.126380681991577	1000.3906903	-0.39069	24	147.25	39.7955713616	200.0	93.0	147.25	39.7955713616	1178	26727
24.186737060546875	1000.46954519	-0.469545	25	145.125	42.2179982353	200.0	76.0	145.125	42.2179982353	1161	27888
25.09388017654419	1000.57765186	-0.577652	26	103.4	35.6796860973	186.0	61.0	103.4	35.6796860973	1034	28922
26.08707594871521	999.964629572	0.0353704	27	94.8181818182	39.9882214063	200.0	40.0	94.8181818182	39.9882214063	1043	29965
26.75539517402649	999.754951611	0.245048	28	94.2727272727	37.7505952008	162.0	45.0	94.2727272727	37.7505952008	1037	31002
27.58279538154602	1000.04158476	-0.0415848	29	59.8235294118	25.0064351579	114.0	28.0	59.8235294118	25.0064351579	1017	32019
28.564575910568237	1000.27430582	-0.274306	30	82.5384615385	31.267125485	134.0	32.0	82.5384615385	31.267125485	1073	33092
29.313020944595337	1000.08197168	-0.0819717	31	65.1875	37.8289220538	181.0	24.0	65.1875	37.8289220538	1043	34135
30.2699294090271	1000.41480228	-0.414802	32	70.2666666667	30.1407070624	159.0	36.0	70.2666666667	30.1407070624	1054	35189
31.31382656097412	1000.3532331	-0.353233	33	93.0909090909	50.0862066758	200.0	47.0	93.0909090909	50.0862066758	1024	36213
32.519264936447144	1000.73105407	-0.731054	34	111.3	51.0530116643	200.0	51.0	111.3	51.0530116643	1113	37326
33.50989031791687	1000.91662371	-0.916624	35	126.625	51.8554179908	200.0	70.0	126.625	51.8554179908	1013	38339
34.223278284072876	1001.72134018	-1.72134	36	147.714285714	48.4700622939	200.0	83.0	147.714285714	48.4700622939	1034	39373
35.177693605422974	1000.87606823	-0.876068	37	190.0	14.1539158304	200.0	169.0	190.0	14.1539158304	1140	40513
36.24221396446228	1000.0765482	-0.0765482	38	195.166666667	10.8076618912	200.0	171.0	195.166666667	10.8076618912	1171	41684
37.41436743736267	1000.58529007	-0.58529	39	200.0	0.0	200.0	200.0	200.0	0.0	1200	42884
38.527926445007324	1001.3604846	-1.36048	40	200.0	0.0	200.0	200.0	200.0	0.0	1200	44084
39.67890453338623	1000.59269005	-0.59269	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	45284
40.66061615943909	1000.05703354	-0.0570335	42	200.0	0.0	200.0	200.0	200.0	0.0	1200	46484
41.7910521030426	1000.94256216	-0.942562	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	47684
